Sentence,Entities
Alice donated €1 billion to UN.,"[(0, 5, 'PER'), (28, 30, 'ORG'), (14, 24, 'MONEY')]"
Tesla follows the HIPAA strictly.,"[(0, 5, 'ORG'), (18, 23, 'LAW')]"
The Burj Khalifa is a famous monument in Toronto.,"[(41, 48, 'LOC'), (4, 16, 'FACILITY')]"
UN announced a new Pixel 8 on Monday.,"[(0, 2, 'ORG'), (30, 36, 'DATE'), (19, 26, 'PRODUCT')]"
Olivia donated $5 million to Google.,"[(0, 6, 'PER'), (29, 35, 'ORG'), (15, 25, 'MONEY')]"
The Last Supper is displayed at a museum in Paris.,"[(44, 49, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Alice is an Indian citizen working in Tokyo.,"[(0, 5, 'PER'), (38, 43, 'LOC'), (12, 18, 'NATIONALITY')]"
Emma donated $100 to Amazon.,"[(0, 4, 'PER'), (21, 27, 'ORG'), (13, 17, 'MONEY')]"
Microsoft follows the Patent Act strictly.,"[(0, 9, 'ORG'), (22, 32, 'LAW')]"
Amazon follows the GDPR strictly.,"[(0, 6, 'ORG'), (19, 23, 'LAW')]"
The Empire State Building is a famous monument in Mumbai.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
Robert is an Canadian citizen working in Sydney.,"[(0, 6, 'PER'), (41, 47, 'LOC'), (13, 21, 'NATIONALITY')]"
The Eiffel Tower is a famous monument in Berlin.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Sophia is an Japanese citizen working in Cairo.,"[(0, 6, 'PER'), (41, 46, 'LOC'), (13, 21, 'NATIONALITY')]"
Alice visited New York during the World Cup.,"[(0, 5, 'PER'), (14, 22, 'LOC'), (34, 43, 'EVENT')]"
Tesla follows the HIPAA strictly.,"[(0, 5, 'ORG'), (18, 23, 'LAW')]"
Sarah wrote about Mona Lisa in Mandarin.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 39, 'LANGUAGE')]"
Alice wrote about The Last Supper in Hindi.,"[(0, 5, 'PER'), (18, 33, 'WORK_OF_ART'), (37, 42, 'LANGUAGE')]"
The Last Supper is displayed at a museum in Berlin.,"[(44, 50, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Sarah wrote about Guernica in French.,"[(0, 5, 'PER'), (18, 26, 'WORK_OF_ART'), (30, 36, 'LANGUAGE'), (30, 36, 'NATIONALITY')]"
Sophia wrote about Mona Lisa in Hindi.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 37, 'LANGUAGE')]"
Guernica is displayed at a museum in Berlin.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Olivia donated $5 million to UNICEF.,"[(0, 6, 'PER'), (29, 35, 'ORG'), (29, 31, 'ORG'), (15, 25, 'MONEY')]"
Galaxy S22 was launched by Tesla at the World Cup.,"[(27, 32, 'ORG'), (0, 10, 'PRODUCT'), (40, 49, 'EVENT')]"
NASA raised €1 billion in 2023.,"[(0, 4, 'ORG'), (26, 30, 'DATE'), (12, 22, 'MONEY')]"
Amazon follows the Copyright Law strictly.,"[(0, 6, 'ORG'), (19, 32, 'LAW')]"
Sophia is an American citizen working in Berlin.,"[(0, 6, 'PER'), (41, 47, 'LOC'), (13, 21, 'NATIONALITY')]"
David is an Canadian citizen working in New York.,"[(0, 5, 'PER'), (40, 48, 'LOC'), (12, 20, 'NATIONALITY')]"
The Sydney Opera House is a famous monument in Cairo.,"[(4, 10, 'LOC'), (47, 52, 'LOC'), (4, 22, 'FACILITY')]"
Amazon raised €1 billion in January 1st.,"[(0, 6, 'ORG'), (28, 39, 'DATE'), (14, 24, 'MONEY')]"
The Eiffel Tower is a famous monument in Paris.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
Sophia visited London during the Olympics.,"[(0, 6, 'PER'), (15, 21, 'LOC'), (33, 41, 'EVENT')]"
UN raised €1 billion in Monday.,"[(0, 2, 'ORG'), (24, 30, 'DATE'), (10, 20, 'MONEY')]"
Sarah wrote about Mona Lisa in English.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 38, 'LANGUAGE')]"
MacBook Pro was launched by Netflix at the Coachella.,"[(28, 35, 'ORG'), (0, 11, 'PRODUCT'), (43, 52, 'EVENT')]"
WHO follows the Patent Act strictly.,"[(0, 3, 'ORG'), (16, 26, 'LAW')]"
Apple announced a new Pixel 8 on Monday.,"[(0, 5, 'ORG'), (33, 39, 'DATE'), (22, 29, 'PRODUCT')]"
Google raised $100 in April.,"[(0, 6, 'ORG'), (22, 27, 'DATE'), (14, 18, 'MONEY')]"
Google raised €200 in August 15.,"[(0, 6, 'ORG'), (22, 31, 'DATE'), (14, 18, 'MONEY')]"
The Empire State Building is a famous monument in London.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
David visited London during the Super Bowl.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 42, 'EVENT')]"
WHO follows the GDPR strictly.,"[(0, 3, 'ORG'), (16, 20, 'LAW')]"
Olivia is an French citizen working in London.,"[(0, 6, 'PER'), (39, 45, 'LOC'), (13, 19, 'LANGUAGE'), (13, 19, 'NATIONALITY')]"
Robert donated €1 billion to UNICEF.,"[(0, 6, 'PER'), (29, 35, 'ORG'), (29, 31, 'ORG'), (15, 25, 'MONEY')]"
iPhone was launched by Amazon at the Olympics.,"[(23, 29, 'ORG'), (0, 6, 'PRODUCT'), (37, 45, 'EVENT')]"
Microsoft announced a new iPhone on Monday.,"[(0, 9, 'ORG'), (36, 42, 'DATE'), (26, 32, 'PRODUCT')]"
Alice wrote about The Last Supper in French.,"[(0, 5, 'PER'), (18, 33, 'WORK_OF_ART'), (37, 43, 'LANGUAGE'), (37, 43, 'NATIONALITY')]"
John donated $100 to Netflix.,"[(0, 4, 'PER'), (21, 28, 'ORG'), (13, 17, 'MONEY')]"
Amazon follows the Copyright Law strictly.,"[(0, 6, 'ORG'), (19, 32, 'LAW')]"
Netflix follows the Copyright Law strictly.,"[(0, 7, 'ORG'), (20, 33, 'LAW')]"
Microsoft follows the Copyright Law strictly.,"[(0, 9, 'ORG'), (22, 35, 'LAW')]"
Netflix announced a new iPhone on April.,"[(0, 7, 'ORG'), (34, 39, 'DATE'), (24, 30, 'PRODUCT')]"
Amazon announced a new MacBook Pro on Monday.,"[(0, 6, 'ORG'), (38, 44, 'DATE'), (23, 34, 'PRODUCT')]"
Amazon announced a new Pixel 8 on June 5.,"[(0, 6, 'ORG'), (34, 40, 'DATE'), (23, 30, 'PRODUCT')]"
Olivia wrote about Mona Lisa in Spanish.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 39, 'LANGUAGE')]"
The Eiffel Tower is a famous monument in Berlin.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Microsoft announced a new PlayStation on December 2024.,"[(0, 9, 'ORG'), (41, 54, 'DATE'), (26, 37, 'PRODUCT')]"
"Apple raised ₹50,000 in January 1st.","[(0, 5, 'ORG'), (24, 35, 'DATE'), (13, 20, 'MONEY')]"
Alice donated $5 million to NASA.,"[(0, 5, 'PER'), (28, 32, 'ORG'), (14, 24, 'MONEY')]"
UN announced a new PlayStation on January 1st.,"[(0, 2, 'ORG'), (34, 45, 'DATE'), (19, 30, 'PRODUCT')]"
David is an American citizen working in New York.,"[(0, 5, 'PER'), (40, 48, 'LOC'), (12, 20, 'NATIONALITY')]"
Liam is an Japanese citizen working in Mumbai.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
Galaxy S22 was launched by Amazon at the Coachella.,"[(27, 33, 'ORG'), (0, 10, 'PRODUCT'), (41, 50, 'EVENT')]"
Pixel 8 was launched by Apple at the Comic-Con.,"[(24, 29, 'ORG'), (0, 7, 'PRODUCT'), (37, 46, 'EVENT')]"
Alice wrote about Mona Lisa in Spanish.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 38, 'LANGUAGE')]"
Alice donated $5 million to NASA.,"[(0, 5, 'PER'), (28, 32, 'ORG'), (14, 24, 'MONEY')]"
Olivia wrote about Starry Night in Hindi.,"[(0, 6, 'PER'), (19, 31, 'WORK_OF_ART'), (35, 40, 'LANGUAGE')]"
Apple raised $5 million in April.,"[(0, 5, 'ORG'), (27, 32, 'DATE'), (13, 23, 'MONEY')]"
Google follows the Copyright Law strictly.,"[(0, 6, 'ORG'), (19, 32, 'LAW')]"
NASA announced a new Galaxy S22 on June 5.,"[(0, 4, 'ORG'), (35, 41, 'DATE'), (21, 31, 'PRODUCT')]"
Starry Night is displayed at a museum in Sydney.,"[(41, 47, 'LOC'), (0, 12, 'WORK_OF_ART')]"
iPhone was launched by WHO at the Coachella.,"[(23, 26, 'ORG'), (0, 6, 'PRODUCT'), (34, 43, 'EVENT')]"
John is an Indian citizen working in New York.,"[(0, 4, 'PER'), (37, 45, 'LOC'), (11, 17, 'NATIONALITY')]"
Emma donated €1 billion to WHO.,"[(0, 4, 'PER'), (27, 30, 'ORG'), (13, 23, 'MONEY')]"
Sarah is an French citizen working in Rome.,"[(0, 5, 'PER'), (38, 42, 'LOC'), (12, 18, 'LANGUAGE'), (12, 18, 'NATIONALITY')]"
UN raised $100 in April.,"[(0, 2, 'ORG'), (18, 23, 'DATE'), (10, 14, 'MONEY')]"
"Microsoft raised ₹50,000 in January 1st.","[(0, 9, 'ORG'), (28, 39, 'DATE'), (17, 24, 'MONEY')]"
Microsoft raised $100 in Monday.,"[(0, 9, 'ORG'), (25, 31, 'DATE'), (17, 21, 'MONEY')]"
John donated €200 to NASA.,"[(0, 4, 'PER'), (21, 25, 'ORG'), (13, 17, 'MONEY')]"
David visited Rome during the Olympics.,"[(0, 5, 'PER'), (14, 18, 'LOC'), (30, 38, 'EVENT')]"
Liam is an French citizen working in Berlin.,"[(0, 4, 'PER'), (37, 43, 'LOC'), (11, 17, 'LANGUAGE'), (11, 17, 'NATIONALITY')]"
Liam visited Cairo during the Comic-Con.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 39, 'EVENT')]"
Netflix follows the HIPAA strictly.,"[(0, 7, 'ORG'), (20, 25, 'LAW')]"
Sarah is an Indian citizen working in Toronto.,"[(0, 5, 'PER'), (38, 45, 'LOC'), (12, 18, 'NATIONALITY')]"
Amazon announced a new PlayStation on January 1st.,"[(0, 6, 'ORG'), (38, 49, 'DATE'), (23, 34, 'PRODUCT')]"
Netflix announced a new iPhone on August 15.,"[(0, 7, 'ORG'), (34, 43, 'DATE'), (24, 30, 'PRODUCT')]"
Guernica is displayed at a museum in London.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Starry Night is displayed at a museum in Paris.,"[(41, 46, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Microsoft raised $5 million in August 15.,"[(0, 9, 'ORG'), (31, 40, 'DATE'), (17, 27, 'MONEY')]"
UNICEF announced a new iPhone on August 15.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (33, 42, 'DATE'), (23, 29, 'PRODUCT')]"
David is an Indian citizen working in Rome.,"[(0, 5, 'PER'), (38, 42, 'LOC'), (12, 18, 'NATIONALITY')]"
Michael is an Japanese citizen working in New York.,"[(0, 7, 'PER'), (42, 50, 'LOC'), (14, 22, 'NATIONALITY')]"
Mona Lisa is displayed at a museum in London.,"[(38, 44, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Sarah is an Japanese citizen working in Cairo.,"[(0, 5, 'PER'), (40, 45, 'LOC'), (12, 20, 'NATIONALITY')]"
PlayStation was launched by Amazon at the Olympics.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 50, 'EVENT')]"
Guernica is displayed at a museum in Paris.,"[(37, 42, 'LOC'), (0, 8, 'WORK_OF_ART')]"
PlayStation was launched by UN at the Super Bowl.,"[(28, 30, 'ORG'), (0, 11, 'PRODUCT'), (38, 48, 'EVENT')]"
Alice is an Indian citizen working in London.,"[(0, 5, 'PER'), (38, 44, 'LOC'), (12, 18, 'NATIONALITY')]"
"Google raised ₹50,000 in January 1st.","[(0, 6, 'ORG'), (25, 36, 'DATE'), (14, 21, 'MONEY')]"
The Eiffel Tower is a famous monument in New York.,"[(41, 49, 'LOC'), (4, 16, 'FACILITY')]"
Alice visited Toronto during the Super Bowl.,"[(0, 5, 'PER'), (14, 21, 'LOC'), (33, 43, 'EVENT')]"
Alice visited Paris during the Olympics.,"[(0, 5, 'PER'), (14, 19, 'LOC'), (31, 39, 'EVENT')]"
Sarah visited Toronto during the Comic-Con.,"[(0, 5, 'PER'), (14, 21, 'LOC'), (33, 42, 'EVENT')]"
Emma is an Japanese citizen working in Mumbai.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
iPhone was launched by Tesla at the Super Bowl.,"[(23, 28, 'ORG'), (0, 6, 'PRODUCT'), (36, 46, 'EVENT')]"
Netflix follows the Patent Act strictly.,"[(0, 7, 'ORG'), (20, 30, 'LAW')]"
Emma visited Mumbai during the Super Bowl.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 41, 'EVENT')]"
Google announced a new Pixel 8 on December 2024.,"[(0, 6, 'ORG'), (34, 47, 'DATE'), (23, 30, 'PRODUCT')]"
Galaxy S22 was launched by UNICEF at the Super Bowl.,"[(27, 33, 'ORG'), (27, 29, 'ORG'), (0, 10, 'PRODUCT'), (41, 51, 'EVENT')]"
WHO raised $5 million in June 5.,"[(0, 3, 'ORG'), (25, 31, 'DATE'), (11, 21, 'MONEY')]"
The Burj Khalifa is a famous monument in Tokyo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
Galaxy S22 was launched by Tesla at the Olympics.,"[(27, 32, 'ORG'), (0, 10, 'PRODUCT'), (40, 48, 'EVENT')]"
The Sydney Opera House is a famous monument in Rome.,"[(4, 10, 'LOC'), (47, 51, 'LOC'), (4, 22, 'FACILITY')]"
Guernica is displayed at a museum in Rome.,"[(37, 41, 'LOC'), (0, 8, 'WORK_OF_ART')]"
David is an American citizen working in Mumbai.,"[(0, 5, 'PER'), (40, 46, 'LOC'), (12, 20, 'NATIONALITY')]"
Mona Lisa is displayed at a museum in Toronto.,"[(38, 45, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Sophia wrote about The Last Supper in Hindi.,"[(0, 6, 'PER'), (19, 34, 'WORK_OF_ART'), (38, 43, 'LANGUAGE')]"
Emma visited Cairo during the World Cup.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 39, 'EVENT')]"
The Sydney Opera House is a famous monument in Tokyo.,"[(47, 52, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
John wrote about The Last Supper in French.,"[(0, 4, 'PER'), (17, 32, 'WORK_OF_ART'), (36, 42, 'LANGUAGE'), (36, 42, 'NATIONALITY')]"
iPhone was launched by Amazon at the Olympics.,"[(23, 29, 'ORG'), (0, 6, 'PRODUCT'), (37, 45, 'EVENT')]"
Robert wrote about Guernica in Mandarin.,"[(0, 6, 'PER'), (19, 27, 'WORK_OF_ART'), (31, 39, 'LANGUAGE')]"
The Burj Khalifa is a famous monument in Cairo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
Kindle was launched by Google at the Coachella.,"[(23, 29, 'ORG'), (0, 6, 'PRODUCT'), (37, 46, 'EVENT')]"
Emma donated $5 million to Microsoft.,"[(0, 4, 'PER'), (27, 36, 'ORG'), (13, 23, 'MONEY')]"
Pixel 8 was launched by Amazon at the Coachella.,"[(24, 30, 'ORG'), (0, 7, 'PRODUCT'), (38, 47, 'EVENT')]"
Emma visited New York during the Coachella.,"[(0, 4, 'PER'), (13, 21, 'LOC'), (33, 42, 'EVENT')]"
The Sydney Opera House is a famous monument in Mumbai.,"[(4, 10, 'LOC'), (47, 53, 'LOC'), (4, 22, 'FACILITY')]"
The Last Supper is displayed at a museum in Sydney.,"[(44, 50, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Starry Night is displayed at a museum in Toronto.,"[(41, 48, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Emma visited Toronto during the Comic-Con.,"[(0, 4, 'PER'), (13, 20, 'LOC'), (32, 41, 'EVENT')]"
Google follows the GDPR strictly.,"[(0, 6, 'ORG'), (19, 23, 'LAW')]"
Microsoft follows the Copyright Law strictly.,"[(0, 9, 'ORG'), (22, 35, 'LAW')]"
Apple follows the Copyright Law strictly.,"[(0, 5, 'ORG'), (18, 31, 'LAW')]"
UNICEF follows the HIPAA strictly.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (19, 24, 'LAW')]"
Sophia is an French citizen working in Cairo.,"[(0, 6, 'PER'), (39, 44, 'LOC'), (13, 19, 'LANGUAGE'), (13, 19, 'NATIONALITY')]"
The Burj Khalifa is a famous monument in London.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Surface Pro was launched by UNICEF at the Comic-Con.,"[(28, 34, 'ORG'), (28, 30, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
Apple follows the Copyright Law strictly.,"[(0, 5, 'ORG'), (18, 31, 'LAW')]"
Emma visited Rome during the World Cup.,"[(0, 4, 'PER'), (13, 17, 'LOC'), (29, 38, 'EVENT')]"
Alice wrote about Mona Lisa in English.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 38, 'LANGUAGE')]"
Microsoft announced a new MacBook Pro on Monday.,"[(0, 9, 'ORG'), (41, 47, 'DATE'), (26, 37, 'PRODUCT')]"
Surface Pro was launched by Apple at the Super Bowl.,"[(28, 33, 'ORG'), (0, 11, 'PRODUCT'), (41, 51, 'EVENT')]"
UN raised $100 in January 1st.,"[(0, 2, 'ORG'), (18, 29, 'DATE'), (10, 14, 'MONEY')]"
Netflix follows the HIPAA strictly.,"[(0, 7, 'ORG'), (20, 25, 'LAW')]"
The Empire State Building is a famous monument in Toronto.,"[(50, 57, 'LOC'), (4, 25, 'FACILITY')]"
David wrote about Mona Lisa in English.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 38, 'LANGUAGE')]"
UN announced a new Surface Pro on 2023.,"[(0, 2, 'ORG'), (34, 38, 'DATE'), (19, 30, 'PRODUCT')]"
UN announced a new Pixel 8 on April.,"[(0, 2, 'ORG'), (30, 35, 'DATE'), (19, 26, 'PRODUCT')]"
Amazon follows the HIPAA strictly.,"[(0, 6, 'ORG'), (19, 24, 'LAW')]"
NASA raised €200 in June 5.,"[(0, 4, 'ORG'), (20, 26, 'DATE'), (12, 16, 'MONEY')]"
Surface Pro was launched by Microsoft at the Comic-Con.,"[(28, 37, 'ORG'), (0, 11, 'PRODUCT'), (45, 54, 'EVENT')]"
Galaxy S22 was launched by Microsoft at the Coachella.,"[(27, 36, 'ORG'), (0, 10, 'PRODUCT'), (44, 53, 'EVENT')]"
Alice donated $5 million to Microsoft.,"[(0, 5, 'PER'), (28, 37, 'ORG'), (14, 24, 'MONEY')]"
Google raised $100 in Monday.,"[(0, 6, 'ORG'), (22, 28, 'DATE'), (14, 18, 'MONEY')]"
Starry Night is displayed at a museum in Toronto.,"[(41, 48, 'LOC'), (0, 12, 'WORK_OF_ART')]"
"Google raised ₹50,000 in 2023.","[(0, 6, 'ORG'), (25, 29, 'DATE'), (14, 21, 'MONEY')]"
UNICEF announced a new iPhone on April.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (33, 38, 'DATE'), (23, 29, 'PRODUCT')]"
The Eiffel Tower is a famous monument in Rome.,"[(41, 45, 'LOC'), (4, 16, 'FACILITY')]"
NASA raised $5 million in Monday.,"[(0, 4, 'ORG'), (26, 32, 'DATE'), (12, 22, 'MONEY')]"
Robert wrote about Starry Night in Mandarin.,"[(0, 6, 'PER'), (19, 31, 'WORK_OF_ART'), (35, 43, 'LANGUAGE')]"
The Sydney Opera House is a famous monument in Toronto.,"[(4, 10, 'LOC'), (47, 54, 'LOC'), (4, 22, 'FACILITY')]"
Apple raised $5 million in August 15.,"[(0, 5, 'ORG'), (27, 36, 'DATE'), (13, 23, 'MONEY')]"
The Sydney Opera House is a famous monument in New York.,"[(47, 55, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
The Eiffel Tower is a famous monument in London.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Google raised €1 billion in April.,"[(0, 6, 'ORG'), (28, 33, 'DATE'), (14, 24, 'MONEY')]"
John visited Cairo during the World Cup.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 39, 'EVENT')]"
Sarah wrote about The Last Supper in Spanish.,"[(0, 5, 'PER'), (18, 33, 'WORK_OF_ART'), (37, 44, 'LANGUAGE')]"
The Empire State Building is a famous monument in New York.,"[(50, 58, 'LOC'), (4, 25, 'FACILITY')]"
UNICEF raised €200 in April.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (22, 27, 'DATE'), (14, 18, 'MONEY')]"
"Microsoft raised ₹50,000 in Monday.","[(0, 9, 'ORG'), (28, 34, 'DATE'), (17, 24, 'MONEY')]"
UNICEF announced a new Surface Pro on June 5.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (38, 44, 'DATE'), (23, 34, 'PRODUCT')]"
Sophia wrote about The Last Supper in Hindi.,"[(0, 6, 'PER'), (19, 34, 'WORK_OF_ART'), (38, 43, 'LANGUAGE')]"
Olivia visited Toronto during the World Cup.,"[(0, 6, 'PER'), (15, 22, 'LOC'), (34, 43, 'EVENT')]"
MacBook Pro was launched by Netflix at the Olympics.,"[(28, 35, 'ORG'), (0, 11, 'PRODUCT'), (43, 51, 'EVENT')]"
Google raised $5 million in January 1st.,"[(0, 6, 'ORG'), (28, 39, 'DATE'), (14, 24, 'MONEY')]"
PlayStation was launched by UNICEF at the Super Bowl.,"[(28, 34, 'ORG'), (28, 30, 'ORG'), (0, 11, 'PRODUCT'), (42, 52, 'EVENT')]"
The Empire State Building is a famous monument in Cairo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
Liam visited Paris during the World Cup.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 39, 'EVENT')]"
The Empire State Building is a famous monument in Tokyo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
The Burj Khalifa is a famous monument in Toronto.,"[(41, 48, 'LOC'), (4, 16, 'FACILITY')]"
Pixel 8 was launched by Tesla at the Coachella.,"[(24, 29, 'ORG'), (0, 7, 'PRODUCT'), (37, 46, 'EVENT')]"
Google raised $5 million in December 2024.,"[(0, 6, 'ORG'), (28, 41, 'DATE'), (14, 24, 'MONEY')]"
Robert wrote about The Last Supper in French.,"[(0, 6, 'PER'), (19, 34, 'WORK_OF_ART'), (38, 44, 'LANGUAGE'), (38, 44, 'NATIONALITY')]"
The Eiffel Tower is a famous monument in Berlin.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
The Empire State Building is a famous monument in Berlin.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
Olivia is an Canadian citizen working in Paris.,"[(0, 6, 'PER'), (41, 46, 'LOC'), (13, 21, 'NATIONALITY')]"
"Liam donated ₹50,000 to WHO.","[(0, 4, 'PER'), (24, 27, 'ORG'), (13, 20, 'MONEY')]"
iPhone was launched by Microsoft at the Comic-Con.,"[(23, 32, 'ORG'), (0, 6, 'PRODUCT'), (40, 49, 'EVENT')]"
Mona Lisa is displayed at a museum in London.,"[(38, 44, 'LOC'), (0, 9, 'WORK_OF_ART')]"
PlayStation was launched by Microsoft at the Olympics.,"[(28, 37, 'ORG'), (0, 11, 'PRODUCT'), (45, 53, 'EVENT')]"
Alice wrote about Starry Night in French.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 40, 'LANGUAGE'), (34, 40, 'NATIONALITY')]"
iPhone was launched by WHO at the Super Bowl.,"[(23, 26, 'ORG'), (0, 6, 'PRODUCT'), (34, 44, 'EVENT')]"
UNICEF announced a new Galaxy S22 on January 1st.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (37, 48, 'DATE'), (23, 33, 'PRODUCT')]"
The Sydney Opera House is a famous monument in London.,"[(47, 53, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
Surface Pro was launched by NASA at the World Cup.,"[(28, 32, 'ORG'), (0, 11, 'PRODUCT'), (40, 49, 'EVENT')]"
Microsoft raised $100 in January 1st.,"[(0, 9, 'ORG'), (25, 36, 'DATE'), (17, 21, 'MONEY')]"
Amazon announced a new iPhone on August 15.,"[(0, 6, 'ORG'), (33, 42, 'DATE'), (23, 29, 'PRODUCT')]"
Galaxy S22 was launched by Tesla at the World Cup.,"[(27, 32, 'ORG'), (0, 10, 'PRODUCT'), (40, 49, 'EVENT')]"
MacBook Pro was launched by Amazon at the Comic-Con.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
MacBook Pro was launched by Google at the Coachella.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
UNICEF raised $100 in Monday.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (22, 28, 'DATE'), (14, 18, 'MONEY')]"
John is an Canadian citizen working in Toronto.,"[(0, 4, 'PER'), (39, 46, 'LOC'), (11, 19, 'NATIONALITY')]"
Surface Pro was launched by Amazon at the World Cup.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
David wrote about Starry Night in French.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 40, 'LANGUAGE'), (34, 40, 'NATIONALITY')]"
The Last Supper is displayed at a museum in Toronto.,"[(44, 51, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Sarah visited Mumbai during the World Cup.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 41, 'EVENT')]"
Michael is an Japanese citizen working in London.,"[(0, 7, 'PER'), (42, 48, 'LOC'), (14, 22, 'NATIONALITY')]"
"Google raised ₹50,000 in January 1st.","[(0, 6, 'ORG'), (25, 36, 'DATE'), (14, 21, 'MONEY')]"
Olivia visited New York during the World Cup.,"[(0, 6, 'PER'), (15, 23, 'LOC'), (35, 44, 'EVENT')]"
Google raised $5 million in April.,"[(0, 6, 'ORG'), (28, 33, 'DATE'), (14, 24, 'MONEY')]"
Robert is an Canadian citizen working in Sydney.,"[(0, 6, 'PER'), (41, 47, 'LOC'), (13, 21, 'NATIONALITY')]"
NASA follows the Copyright Law strictly.,"[(0, 4, 'ORG'), (17, 30, 'LAW')]"
Mona Lisa is displayed at a museum in Cairo.,"[(38, 43, 'LOC'), (0, 9, 'WORK_OF_ART')]"
The Empire State Building is a famous monument in Sydney.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
David visited Toronto during the Comic-Con.,"[(0, 5, 'PER'), (14, 21, 'LOC'), (33, 42, 'EVENT')]"
"Google raised ₹50,000 in April.","[(0, 6, 'ORG'), (25, 30, 'DATE'), (14, 21, 'MONEY')]"
Olivia is an Canadian citizen working in Paris.,"[(0, 6, 'PER'), (41, 46, 'LOC'), (13, 21, 'NATIONALITY')]"
Tesla follows the Patent Act strictly.,"[(0, 5, 'ORG'), (18, 28, 'LAW')]"
UNICEF announced a new MacBook Pro on Monday.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (38, 44, 'DATE'), (23, 34, 'PRODUCT')]"
Robert is an Japanese citizen working in Paris.,"[(0, 6, 'PER'), (41, 46, 'LOC'), (13, 21, 'NATIONALITY')]"
Sarah wrote about Starry Night in English.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 41, 'LANGUAGE')]"
Netflix raised €1 billion in January 1st.,"[(0, 7, 'ORG'), (29, 40, 'DATE'), (15, 25, 'MONEY')]"
